Library	License	Homepage	About	Memo
armadillo	Apache-2.0	http://arma.sourceforge.net	Armadillo is a high quality linear algebra library (matrix maths) for the C++ language, aiming towards a good balance between speed and ease of use	
arrayfire	BSD-3-Clause	https://github.com/arrayfire/arrayfire	ArrayFire is a general-purpose library that simplifies the process of developing software that targets parallel and massively-parallel architectures including CPUs, GPUs, and other hardware acceleration devices.	
arrow	Apache-2.0	https://arrow.apache.org	Cross-language development platform for in-memory analytics	
ashes	MIT	https://github.com/DragonJoker/Ashes	Drop-in replacement to Vulkan's shared library, allowing the use of OpenGL or Direct3D11 in addition to Vulkan.	
asio	BSL-1.0	https://github.com/chriskohlhoff/asio	Asio is a cross-platform C++ library for network and low-level I/O programming that provides developers with a consistent asynchronous model using a modern C++ approach.	
asio-grpc	Apache-2.0	https://github.com/Tradias/asio-grpc	Asynchronous gRPC with Asio/unified executors	
asiosdk		https://www.steinberg.net/en/company/developers.html	ASIO is a low latency audio API from Steinberg.	
asmjit		https://github.com/asmjit/asmjit	Complete x86/x64 JIT and Remote Assembler for C++	
assimp	BSD-3-Clause	https://github.com/assimp/assimp	The Open Asset import library	
asynch		https://github.com/naasking/async.h	Async.h - asynchronous, stackless subroutines.	
asyncplusplus	MIT		Async++ is a lightweight concurrency framework for C++11	
at-spi2-atk	None	https://www.gtk.org/	Implementation of the ATK interfaces in terms of the libatspi2 API.	
at-spi2-core	None	https://www.gtk.org/	Base DBus XML interfaces for accessibility, the accessibility registry daemon, and atspi library.	
atk	GPL-2.0-only	https://developer.gnome.org/atk/	GNOME Accessibility Toolkit	
atkmm	LGPL-2.1	https://www.gtkmm.org	atkmm is the official C++ interface for the ATK accessibility toolkit library. It may be used, for instance, by user interfaces implemented with gtkmm.	
atlmfc			a stub package that ensures VS has ATL/MFC installed.	
atomic-queue		https://github.com/max0x7ba/atomic_queue	Minimalistic header-only thread-safe ultra-low-latency multiple-producer-multiple-consumer lockless queues based on circular buffer with std::atomic.	
attr	LGPL-2.1-or-later	http://savannah.nongnu.org/projects/attr	Commands for Manipulating Filesystem Extended Attributes	
aubio	GPL-3.0-or-later	https://github.com/aubio/aubio	Aubio is a tool designed for the extraction of annotations from audio signals. Its features include segmenting a sound file before each of its attacks, performing pitch detection, tapping the beat and producing midi streams from live audio.	
audiofile	MIT	https://github.com/adamstark/AudioFile	A simple header-only C++ library for reading and writing audio files.	
aurora		https://github.com/Bromeon/Aurora	Aurora is an open-source C++ library providing various rather uncommon C++ utilities	
autobahn		https://crossbar.io/autobahn	WAMP for C++ in Boost/Asio	
autodock-vina		http://vina.scripps.edu/	AutoDock Vina is one of the fastest and most widely used open-source docking engines.	
avcpp	LGPL-2.1-only OR BSD-3-Clause	https://github.com/h4tr3d/avcpp	Wrapper for the FFmpeg that simplify usage it from C++ projects.	
avisynthplus	GPL-2.0	https://avs-plus.net/	An improved version of the AviSynth frameserver, with improved features and developer friendliness	
avro-c	Apache-2.0	https://github.com/apache/avro	Apache Avro is a data serialization system	
avro-cpp	Apache-2.0	https://github.com/apache/avro	Apache Avro is a data serialization system	
aws-c-auth	Apache-2.0	https://github.com/awslabs/aws-c-auth	C99 library implementation of AWS client-side authentication: standard credentials providers and signing.	
aws-c-cal	Apache-2.0	https://github.com/awslabs/aws-c-cal	C99 wrapper for cryptography primitives.	
aws-c-common	Apache-2.0	https://github.com/awslabs/aws-c-common	AWS common library for C	
aws-c-compression	Apache-2.0	https://github.com/awslabs/aws-c-compression	C99 implementation of huffman encoding/decoding	
aws-c-event-stream	Apache-2.0	https://github.com/awslabs/aws-c-event-stream	C99 implementation of the vnd.amazon.event-stream content-type.	
aws-c-http	Apache-2.0	https://github.com/awslabs/aws-c-http	C99 implementation of the HTTP/1.1 and HTTP/2 specifications	
aws-c-io	Apache-2.0	https://github.com/awslabs/aws-c-io	Handles all IO and TLS work for application protocols.	
aws-c-mqtt	Apache-2.0	https://github.com/awslabs/aws-c-mqtt	C99 implementation of the MQTT 3.1.1 specification.	
aws-c-s3	Apache-2.0	https://github.com/awslabs/aws-c-s3	C99 library implementation for communicating with the S3 service, designed for maximizing throughput on high bandwidth EC2 instances.	
aws-c-sdkutils	Apache-2.0	https://github.com/awslabs/aws-c-sdkutils	C99 library implementing AWS SDK specific utilities. Includes utilities for ARN parsing, reading AWS profiles, etc...	
